ips_allocated,subnet_id,subnet_size,month,year,avg_ips_allocated_last_month
126,1,256,8,2023,78.80645161290323
130,2,256,8,2023,73.7741935483871
88,9,128,7,2023,77.43333333333334
207,3,256,9,2023,107.09677419354838
47,4,128,9,2023,90.12903225806451
58,2,128,12,2023,78.2
17,8,128,9,2023,81.38709677419355
78,1,256,9,2023,95.54838709677419
78,9,256,5,2023,69.3
45,10,128,1,2023,0.0
46,8,128,3,2023,86.14285714285714
2,4,128,8,2023,88.51612903225806
165,7,256,6,2023,105.6774193548387
166,4,256,12,2023,78.33333333333333
130,6,256,4,2023,98.90322580645162
193,5,256,1,2023,0.0
107,5,128,10,2023,58.96666666666667
92,10,128,6,2023,95.16129032258064
14,5,128,11,2023,89.83870967741936
40,2,128,6,2023,83.25806451612904
155,2,256,11,2023,84.12903225806451
82,4,128,7,2023,83.76666666666667
90,4,128,12,2023,78.33333333333333
65,3,256,6,2023,114.2258064516129
194,7,256,4,2023,82.93548387096774
65,4,128,1,2023,0.0
80,7,256,10,2023,73.3
36,2,256,10,2023,87.86666666666666
29,5,128,3,2023,78.35714285714286
55,6,128,7,2023,76.76666666666667
21,7,128,12,2023,86.03333333333333
33,1,128,3,2023,84.67857142857143
94,7,256,12,2023,86.03333333333333
209,8,256,12,2023,95.6
63,10,128,6,2023,95.16129032258064
47,3,256,8,2023,100.80645161290323
176,7,256,10,2023,73.3
113,3,128,4,2023,81.41935483870968
101,1,128,1,2023,0.0
94,2,256,3,2023,89.17857142857143
133,5,256,2,2023,97.87096774193549
111,10,128,12,2023,83.86666666666666
13,4,256,10,2023,93.83333333333333
161,7,256,7,2023,77.43333333333334
209,9,256,12,2023,73.7
43,10,256,9,2023,99.70967741935483
85,8,128,11,2023,104.2258064516129
98,1,128,12,2023,92.3
149,6,256,4,2023,98.90322580645162
136,6,256,8,2023,108.06451612903226
96,4,128,6,2023,80.35483870967742
100,4,128,4,2023,74.09677419354838
134,6,256,5,2023,95.36666666666666
227,2,256,1,2023,0.0
83,6,256,4,2023,98.90322580645162
67,1,128,1,2023,0.0
113,1,256,8,2023,78.80645161290323
